SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496277.5   NPRNTI= 5   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   349     3    3S1 3P2 5P1         (3)1( 4.0)   133619.2*
   350     3    3S1 3P2 5P1         (1)1( 1.0)   133958.1*
   351     3    3S1 3P2 4D1         (3)3(10.0)   134105.6*
   352     3    3S1 3P2 4D1         (3)0( 1.0)   134136.7*
   353     3    3S1 3P2 4D1         (1)1( 1.0)   134676.4*
   354     3    3S1 3P2 4F1         (1)4( 4.0)   134743.3*
   355     3    3S1 3P2 4F1         (3)4(13.0)   134754.6*
   356     3    3S1 3P2 4F1         (3)3(10.0)   134788.6*
   357     3    3S1 3P2 4F1         (1)3( 3.0)   134807.8*
   358     3    3S1 3P2 4F1         (1)2( 2.0)   134972.3*
   359     3    3S1 3P2 4F1         (3)2( 7.0)   134977.5*
   360     3    3S1 3P2 4F1         (3)5(16.0)   134998.8*
   361     3    3S1 3P2 4F1         (1)5( 5.0)   135032.5*
   362     3    3S1 3P2 4F1         (3)1( 4.0)   135173.0*
   363     3    3S1 3P2 4D1         (1)4( 4.0)   135184.8*
   364     3    3S1 3P2 4F1         (1)1( 1.0)   135187.5*
   365     3    3S1 3P2 6S1         (3)2( 7.0)   135241.0*
   366     3    3S1 3P2 4D1         (3)1( 4.0)   135417.2*
   367     3    3S1 3P2 6S1         (1)2( 2.0)   135540.0*
   368     3    3S1 3P2 4D1         (1)2( 2.0)   135915.6*
   369     3    3S1 3P2 5D1         (3)4(13.0)   136276.7*
   370     3    3S1 3P2 6P1         (3)2( 7.0)   136409.7*
   371     3    3S1 3P2 6P1         (3)3(10.0)   136504.3*
   372     3    3S1 3P2 5D1         (3)2( 7.0)   136521.5*
   373     3    3S1 3P2 6P1         (1)2( 2.0)   136522.7*
   374     4    3S1 3P2 4S1         (1)0( 0.0)   136548.0*
   375     3    3S1 3P2 6P1         (1)3( 3.0)   136687.7*
   376     3    3S1 3P2 5D1         (1)3( 3.0)   136731.3*
   377     3    3S1 3P2 6P1         (3)1( 4.0)   136745.6*
   378     3    3S1 3P2 5D1         (3)3(10.0)   136785.8*
   379     3    3S1 3P2 6P1         (1)1( 1.0)   136904.9*
   380     3    3S1 3P2 5D1         (3)0( 1.0)   136978.8*
   381     3    3S1 3P2 5D1         (1)1( 1.0)   137222.9*
   382     3    3S1 3P2 5F1         (1)4( 4.0)   137295.8*
   383     3    3S1 3P2 5F1         (3)4(13.0)   137303.9*
   384     3    3S1 3P2 5D1         (1)4( 4.0)   137318.7*
   385     3    3S1 3P2 5F1         (3)3(10.0)   137319.7*
